date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:53:13	502/502	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Jul%202026%2015:30:01%20GMT	https://www.pkotler.org/robots.txt		(from )
07:53:15	82373/82373	---M-Z	200	added ('OK')	text/html	etag:W/%22303fdf4dfd445d076b76202bc23e28e4%22	https://www.pkotler.org/	./www.pkotler.org/index.html	(from )
07:53:16	78135/78135	---M-Z	200	added ('OK')	text/html	etag:W/%22d658c632b64887d36a1680d8a1ec3493--gzip%22	https://www.pkotler.org/bio	./www.pkotler.org/bio.html	(from https://www.pkotler.org/)
07:53:17	75840/75840	---M-Z	200	added ('OK')	text/html	etag:W/%2283091b7c0c7d163404370724aa59dc18%22	https://www.pkotler.org/quotes-from-pk	./www.pkotler.org/quotes-from-pk.html	(from https://www.pkotler.org/)
07:53:19	70067/70067	---MCZ	200	added ('OK')	text/html	etag:W/%22466cf3bf97b47aedd5e27ad5e8dd22a0--gzip%22	https://www.pkotler.org/quotes-about-pk	./www.pkotler.org/quotes-about-pk.html	(from https://www.pkotler.org/)
07:53:20	71051/71051	---M-Z	200	added ('OK')	text/html	etag:W/%226d3fd2aeb6d59714b31441d54daf8d0b%22	https://www.pkotler.org/pubs	./www.pkotler.org/pubs.html	(from https://www.pkotler.org/)
07:54:20	96923/96923	---M-Z	200	added ('OK')	text/html	etag:W/%22cdb234af8fcc4e1b4eacfc18722b5bab--gzip%22	https://www.pkotler.org/photos	./www.pkotler.org/photos.html	(from https://www.pkotler.org/)
07:54:22	76218/76218	---M-Z	200	added ('OK')	text/html	etag:W/%221cb906f53770df1f25a582c5d6cecbae%22	https://www.pkotler.org/videos	./www.pkotler.org/videos.html	(from https://www.pkotler.org/)
07:54:23	141475/141475	---M-Z	200	added ('OK')	text/html	etag:W/%2244457054dac11ab93239beb16f487c0f%22	https://www.pkotler.org/kotlers-book-covers	./www.pkotler.org/kotlers-book-covers.html	(from https://www.pkotler.org/)
07:54:24	70912/70912	---M-Z	200	added ('OK')	text/html	etag:W/%220bc6e5a9d9615778e76f8f63de96169b%22	https://www.pkotler.org/world-mktg-summit	./www.pkotler.org/world-mktg-summit.html	(from https://www.pkotler.org/)
07:54:25	85157/85157	---M-Z	200	added ('OK')	text/html	etag:W/%223a47d74375610e1df5f19ca169db47e0%22	https://www.pkotler.org/hire-us	./www.pkotler.org/hire-us.html	(from https://www.pkotler.org/)
07:54:26	168264/168264	---M-Z	200	added ('OK')	text/html	etag:W/%22858634e2d74560a84ed11ec34ac1b9dc--gzip%22	https://www.pkotler.org/blog	./www.pkotler.org/blog.html	(from https://www.pkotler.org/)
07:54:27	119426/119426	---M--	200	added ('OK')	image/svg+xml	etag:%22a8caec109536807b352a4e8f5ffa0f98%22	https://www.pkotler.org/universal/svg/social-accounts.svg	./www.pkotler.org/universal/svg/social-accounts.svg	(from https://www.pkotler.org/)
